Iteration,Policy Loss,Value Loss
4,3.926,0.9793
5,3.8827,0.9624
6,3.8612,0.9456
7,3.7873,0.9293
8,3.696,0.9409
9,3.5369,0.9321
10,3.1771,0.8652
11,2.9392,0.6914
12,3.5882,0.492
13,3.2989,0.5201
14,3.2554,0.8188
15,2.8203,0.6447
16,3.1837,0.955
17,3.263,0.6131
18,3.2076,0.454
19,2.9703,0.4296
20,2.6618,0.3909
21,3.2641,0.3347
22,4.4075,0.4408
23,3.367,0.6134
24,3.822,0.4677
25,3.3681,0.4178
26,3.4497,0.542
27,3.5521,0.7226
28,3.6841,0.7461
29,3.0794,0.3422
30,3.6793,0.8024
31,3.5436,0.6871
32,3.4497,0.6353
33,3.7822,0.6298
34,3.5551,0.5627
35,3.35,0.6545
36,3.4129,0.5747
37,3.2371,0.6302
38,3.2043,0.3189
39,3.3618,0.517
40,3.1588,0.5571
41,2.789,0.3397
42,3.7159,0.6794
43,2.5577,0.6067
44,2.7664,0.5498
45,3.3283,0.5406
46,3.0434,0.5313
47,2.6545,0.4629
48,2.5652,0.3944
49,3.0166,0.3098
50,3.0286,0.5447
51,2.8381,0.5702
52,2.6208,0.3674
53,2.923,0.5171
54,2.7391,0.6065
55,3.2304,0.5262
56,2.4509,0.5072
57,3.3652,0.64
58,2.647,0.3689
59,3.7905,0.675
60,2.8598,0.413
61,2.6468,0.5641
62,2.9692,0.4694
63,2.2559,0.312
64,2.2099,0.4308
65,2.8738,0.5406
66,2.8893,0.3778
67,1.9151,0.3253
68,2.6782,0.4964
69,3.2711,0.4566
70,3.559,0.4096
71,3.1638,0.5616
72,2.7695,0.3516
73,1.721,0.2313
74,1.9818,0.2422
75,1.9481,0.1972
76,1.6348,0.0617
77,2.2368,0.3096
78,2.5792,0.4928
79,1.7193,0.2671
80,1.9925,0.357
81,1.9751,0.2627
82,2.1516,0.3297
83,2.2114,0.3773
84,2.7466,0.3666
85,1.9168,0.2472
86,1.8948,0.2993
87,1.0822,0.2509
88,2.3363,0.3723
89,1.682,0.3826
90,1.1503,0.2858
91,1.886,0.2902
92,1.6625,0.295
93,1.7027,0.2684
94,0.8852,0.2015
95,1.2711,0.2253
96,1.7724,0.2119
97,2.3182,0.2236
98,1.3719,0.1539
99,1.8033,0.2187
100,1.4459,0.146
101,1.2609,0.0921
102,1.2571,0.1169
103,1.072,0.1136
104,0.7646,0.0659
105,0.6292,0.0816
106,0.9527,0.1246
107,0.3816,0.0507
108,1.2998,0.052
109,0.6649,0.0269
110,0.6593,0.0851
111,0.898,0.0768
112,1.0703,0.0709
113,0.726,0.0204
114,0.9906,0.0594
115,1.0235,0.159
116,0.7388,0.064
117,0.4816,0.015
118,0.9795,0.0108
119,0.5499,0.0079
120,0.5106,0.2321
121,0.4094,0.108
122,0.7761,0.043
123,0.4869,0.002
124,0.4471,0.0864
125,0.3178,0.1047
126,0.6298,0.0805
127,0.6381,0.0453
128,0.8982,0.0432
129,1.4614,0.0339
130,0.8642,0.0218
131,0.5818,0.0201
132,0.3524,0.0835
133,0.7667,0.0578
134,0.6574,0.0593
135,0.3583,0.0416
136,0.5177,0.0738
137,0.3819,0.0221
138,0.9483,0.0853
139,1.3558,0.025
140,0.7844,0.0727
141,0.4971,0.003
142,0.4817,0.0567
143,0.9463,0.0013
144,0.5053,0.0905
145,0.475,0.0001
146,1.3037,0.1234
147,0.8938,0.1692
148,0.3487,0.2092
149,0.3179,0.0673
150,0.2519,0.1217
151,0.748,0.0336
152,0.6775,0.0076
153,0.5126,0.0689
154,0.2815,0.0005
155,0.6462,0.042
156,0.6537,0.041
157,0.4758,0.0173
158,0.4744,0.0088
159,0.3921,0.0103
160,0.9765,0.0008
161,0.5344,0.0245
162,0.2793,0.0052
163,0.3139,0.0001
164,0.1479,0.0002
165,0.5065,0.0293
166,0.2105,0.0026
167,0.6638,0.002
168,0.1249,0.0007
169,1.0826,0.0011
170,0.3637,0.0056
171,0.1374,0.0154
172,0.9115,0.0191
173,0.3638,0.0019
174,0.3687,0.0007
175,0.1817,0.0041
176,0.3665,0.0267
177,0.3749,0.0083
178,0.066,0.0047
179,0.1684,0.0052
180,0.1289,0.0
181,0.3835,0.0066
182,0.1135,0.0036
183,0.0301,0.0139
184,0.0147,0.0029
185,0.0764,0.002
186,0.6953,0.0074
187,0.6268,0.0001
188,2.0613,0.0023
189,0.0416,0.0007
190,0.1595,0.0023
191,0.7814,0.0009
192,0.5662,0.0064
193,0.8137,0.0177
194,0.0934,0.0032
195,0.2933,0.0159
196,0.2675,0.0022
197,0.0751,0.0002
198,0.2097,0.0108
199,0.6161,0.0064
200,0.2678,0.001
201,0.8181,0.0175
202,1.2001,0.0233
203,0.3734,0.0039
204,0.197,0.0006
205,0.6901,0.0216
206,0.211,0.0004
207,0.1711,0.0182
208,0.6569,0.0076
209,0.4361,0.023
210,0.1582,0.0888
211,0.3264,0.0223
212,0.1441,0.0074
213,0.3148,0.0069
214,0.3107,0.0026
215,0.1277,0.0059
216,0.5,0.0029
217,0.0741,0.0175
218,0.1153,0.0079
219,0.1968,0.0053
220,0.1406,0.0138
221,0.6545,0.0043
222,0.178,0.0003
223,0.4403,0.0056
224,0.2599,0.001
225,0.3793,0.0007
226,0.5135,0.0016
227,0.0364,0.0018
228,0.2448,0.0062
229,0.2395,0.0009
230,0.1972,0.0001
231,0.0751,0.0014
232,0.2712,0.0007
233,0.1543,0.0072
234,0.124,0.0092
235,0.1285,0.0001
236,0.0182,0.0018
237,0.1111,0.0014
238,0.0619,0.0002
239,0.1077,0.0057
240,0.1231,0.0003
241,0.0613,0.0
242,0.1521,0.0
243,0.0445,0.0012
244,0.0763,0.004
245,0.0679,0.0268
246,0.0474,0.0065
247,0.4845,0.0
248,0.3317,0.0026
249,0.0633,0.0014
250,0.0248,0.0002
251,0.1158,0.0051
252,0.2164,0.0003
253,0.0638,0.0356
254,0.2322,0.0003
255,0.1209,0.0016
256,0.0957,0.0
257,0.0475,0.0159
258,0.0814,0.0062
259,0.1236,0.0039
260,0.1257,0.0007
261,0.0452,0.0016
262,0.0712,0.0011
263,0.0219,0.0108
264,1.9054,0.0222
265,0.0858,0.0121
266,1.5079,0.0145
267,0.0122,0.0016
268,0.0261,0.0003
269,0.1209,0.0097
270,0.0451,0.0092
271,1.3301,0.0133
272,0.0571,0.0093
273,0.1088,0.0015
274,0.2307,0.0151
275,0.0929,0.0001
276,0.8584,0.0041
277,0.0397,0.0018
278,0.0842,0.0017
279,0.0545,0.0007
280,0.0773,0.0015
281,0.0794,0.0001
282,0.0936,0.0004
283,0.1169,0.0015
284,0.2489,0.0005
285,0.0696,0.0016
286,0.0706,0.0025
287,0.0824,0.0008
288,0.0938,0.0006
289,0.1386,0.0001
290,0.4102,0.0
291,0.1207,0.0002
292,0.3827,0.0001
293,0.0199,0.0194
294,0.0559,0.0109
295,0.0296,0.0029
296,0.1701,0.0184
297,0.1626,0.0003
298,0.0782,0.0002
299,0.0587,0.0016
300,0.1971,0.0159
301,0.1088,0.0327
302,0.1472,0.0153
303,0.0164,0.0
304,0.0165,0.0003
305,0.0205,0.008
306,0.3476,0.004
307,0.0207,0.0056
308,0.0256,0.0068
309,0.1422,0.0055
310,0.0199,0.0001
311,0.1558,0.0283
312,0.0042,0.002
313,0.0116,0.0141
314,0.15,0.0007
315,0.0227,0.003
316,0.0068,0.0018
317,0.0234,0.0207
318,0.065,0.0023
319,0.0071,0.0023
320,0.0047,0.0005
321,0.0093,0.0002
322,0.8591,0.0024
323,0.0133,0.0018
324,0.0228,0.0003
325,0.0588,0.0001
326,0.0065,0.0001
327,0.0171,0.0007
328,0.0059,0.0
329,0.058,0.0004
330,0.0468,0.0052
331,0.0354,0.0
332,0.0094,0.0007
333,0.0078,0.0011
334,0.0093,0.0034
335,0.0017,0.0002
336,0.0019,0.0021
337,0.014,0.0
338,1.0249,0.0008
339,0.0342,0.0037
340,0.1174,0.002
341,0.0253,0.0104
342,0.1388,0.0056
343,0.4624,0.0055
344,0.0871,0.0001
345,0.0863,0.0012
346,0.1439,0.0025
347,0.0141,0.001
348,0.0251,0.0017
349,0.1378,0.0031
350,0.0242,0.0001
351,0.2364,0.0012
352,0.418,0.0001
353,0.3228,0.0007
354,0.0561,0.0001
355,0.4435,0.0001
356,0.0507,0.0001
357,0.0222,0.0002
358,0.0188,0.0035
359,0.0631,0.0009
360,0.0552,0.0018
361,0.0652,0.0014
362,0.0591,0.0002
363,0.1,0.0043
364,0.0531,0.002
365,0.1761,0.0006
366,0.2792,0.0025
367,0.0307,0.0002
368,0.0305,0.0006
369,0.0654,0.0008
370,0.0614,0.0001
371,0.1596,0.0001
372,0.2551,0.0003
373,0.2161,0.0002
374,0.0253,0.0004
375,0.0609,0.0048
376,0.1042,0.0001
377,0.0186,0.002
378,0.1229,0.0019
379,0.0173,0.0
380,0.0169,0.0001
381,0.0084,0.0018
382,0.0042,0.0034
383,0.3734,0.0004
384,0.0671,0.0002
385,0.0256,0.0
386,0.0523,0.0001
387,0.0063,0.0027
388,0.023,0.0002
389,0.0405,0.0003
390,0.0126,0.0005
391,0.0259,0.0001
392,0.0222,0.0042
393,0.0248,0.0001
394,0.0354,0.001
395,0.0215,0.0009
396,0.0154,0.0002
397,0.0202,0.0001
398,0.2215,0.0052
399,0.0052,0.0
400,0.0157,0.0033
401,0.0023,0.0009
402,0.0134,0.0011
403,0.1084,0.0
404,0.0061,0.0016
405,0.0131,0.0011
406,0.0086,0.0005
407,0.0126,0.0
408,0.2277,0.0016
409,0.0263,0.0002
410,0.0043,0.0
411,0.0043,0.0008
412,0.0174,0.0002
413,0.0065,0.0
414,0.0764,0.0058
415,0.1431,0.0006
416,0.0234,0.0
417,0.0062,0.0033
418,0.0078,0.0001
419,0.2231,0.0
420,0.0043,0.0006
421,0.0108,0.0009
422,0.017,0.0018
423,0.2315,0.0014
424,0.0015,0.0024
425,0.0201,0.0006
426,0.0034,0.0006
427,0.0174,0.0
428,0.0078,0.0008
429,0.0176,0.0003
430,0.1077,0.0016
431,0.1474,0.0006
432,0.0948,0.0001
433,0.0183,0.0
434,0.0288,0.0007
435,0.008,0.0003
436,0.0362,0.0004
437,0.0059,0.0002
438,0.6204,0.0003
439,0.0085,0.0003
440,0.1733,0.0002
441,0.0918,0.0
442,0.0819,0.0001
443,0.0072,0.0
444,0.0206,0.0
445,0.5452,0.0
446,0.1299,0.0012
447,0.1753,0.0013
448,0.0084,0.0002
449,0.3061,0.0
450,0.0042,0.0006
451,0.0136,0.0
452,0.1438,0.0001
453,0.2182,0.0
454,0.0046,0.0001
455,0.1058,0.0001
456,0.1412,0.0
457,0.0054,0.0003
458,0.0205,0.0
459,0.1057,0.0
460,0.186,0.0001
461,0.0113,0.0001
462,0.0082,0.0
463,0.6102,0.0
464,0.1316,0.0001
465,0.096,0.0109
466,0.0442,0.0001
467,0.0605,0.0
468,0.0749,0.0001
469,0.041,0.0002
470,0.0153,0.0009
471,0.1454,0.0001
472,0.1098,0.0
473,0.2981,0.0
474,0.1277,0.0003
475,0.1674,0.0003
476,0.0113,0.0019
477,0.2675,0.0
478,0.1962,0.0004
479,0.2934,0.0004
480,0.0182,0.0007
481,0.0143,0.0
482,0.0236,0.0001
483,0.0493,0.0001
484,0.1453,0.0
485,0.154,0.0014
486,0.1243,0.0005
487,0.0309,0.0009
488,0.0495,0.0004
489,0.0304,0.0004
490,0.0231,0.0002
491,0.136,0.0002
492,0.0298,0.0002
493,0.1493,0.0009
494,0.0324,0.0
495,0.0162,0.0013
496,0.0286,0.0005
497,0.0585,0.0013
498,0.1892,0.0001
499,0.0046,0.0001
500,0.0808,0.0
501,0.1172,0.0006
502,0.0241,0.0
503,0.022,0.0004
504,0.0293,0.0
505,0.0088,0.0001
506,0.0065,0.0001
507,0.633,0.0014
508,0.0066,0.0
509,0.3564,0.0
510,0.1062,0.0003
511,0.0094,0.0
512,0.0493,0.0
513,0.2491,0.0001
514,0.0288,0.0002
515,0.0251,0.0002
516,0.0475,0.0
517,0.4961,0.0
518,0.0139,0.0003
519,0.0289,0.0019
520,0.8896,0.0002
521,0.1287,0.0001
522,0.0752,0.0002
523,0.0067,0.0
524,0.0603,0.0
525,0.1065,0.0022
526,0.1005,0.0003
527,0.0127,0.0
528,0.0087,0.0114
529,0.0894,0.0009
530,0.0824,0.0014
531,0.1058,0.0
532,0.1251,0.0176
533,0.1271,0.0
534,0.0412,0.001
535,0.0504,0.0005
536,0.0071,0.0002
537,0.1487,0.0014
538,1.6406,0.0015
539,0.0433,0.0177
540,0.0135,0.0013
541,0.1776,0.0032
542,0.0265,0.002
543,1.7821,0.0824
544,0.2331,0.0007
545,0.0159,0.0001
546,0.2441,0.0003
547,0.109,0.0
548,0.0739,0.0015
549,0.0824,0.0044
550,0.5386,0.01
551,0.1088,0.0
552,0.0618,0.0004
553,0.1624,0.0022
554,0.0885,0.0091
555,0.0496,0.0108
556,0.0576,0.0014
557,0.2088,0.0003
558,0.0319,0.0001
559,0.379,0.0316
560,0.014,0.0009
561,0.0155,0.0155
562,0.1492,0.0001
563,0.027,0.0
564,0.2505,0.0002
565,0.1116,0.0008
566,0.06,0.0027
567,0.0832,0.0
568,0.0545,0.002
569,0.0764,0.0009
570,0.1019,0.0007
571,0.1237,0.0003
572,0.0156,0.0005
573,0.174,0.0136
574,0.1509,0.0
575,0.0069,0.0003
576,0.008,0.0095
577,0.0408,0.0003
578,0.0164,0.0015
579,0.0154,0.0
580,0.0051,0.0021
581,0.1566,0.0009
582,0.0048,0.0098
583,0.0089,0.0011
584,0.1224,0.0
585,0.0957,0.0002
586,0.0057,0.0
587,0.1011,0.0001
588,0.0367,0.0
589,0.0054,0.0
590,0.0158,0.0158
591,0.4162,0.0002
592,0.4979,0.0
593,0.0021,0.0
594,0.0349,0.009
595,0.0096,0.0
596,0.3931,0.0001
597,0.0271,0.001
598,0.0354,0.0062
599,0.104,0.0
600,0.0554,0.0006
601,0.1088,0.0009
602,0.0083,0.0068
603,0.004,0.0003
604,0.0052,0.0
605,0.0195,0.0001
606,0.0749,0.0
607,0.0104,0.0003
608,0.0195,0.0
609,0.0173,0.0006
610,0.0265,0.0003
611,0.0066,0.0023
612,0.2652,0.0
613,0.0497,0.0001
614,0.3122,0.0002
615,0.0024,0.0004
616,0.1558,0.0001
617,0.0412,0.0001
618,0.0496,0.0017
619,0.0062,0.0
620,0.0102,0.0014
621,0.3943,0.0012
622,0.1888,0.0002
623,0.0066,0.0004
624,0.1109,0.0002
625,0.0041,0.0
626,0.0785,0.0
627,0.0978,0.0
628,0.0049,0.0014
629,0.0079,0.0035
630,0.2789,0.0021
631,0.2042,0.0
632,0.0025,0.0004
633,0.1489,0.0
634,0.1046,0.0001
635,0.0404,0.0
636,0.0918,0.0
637,0.0008,0.0016
638,0.2101,0.0
639,0.024,0.0
640,0.2097,0.0005
641,0.0093,0.0017
642,0.0085,0.0003
643,0.0028,0.0
644,0.1048,0.0
645,0.0031,0.0001
646,0.0864,0.0
647,0.0035,0.0012
648,0.0565,0.001
649,0.0518,0.0
650,0.0056,0.0001
651,0.0071,0.0001
652,0.0194,0.0001
653,0.004,0.0
654,0.0263,0.0
655,0.0216,0.0002
656,0.0194,0.0
657,0.0123,0.001
658,0.263,0.0
659,0.016,0.0
660,0.0022,0.0001
661,0.0073,0.0001
662,0.0092,0.0001
663,0.0058,0.0006
664,0.2331,0.0002
665,0.2018,0.0002
666,0.0548,0.0021
667,0.0289,0.0007
668,0.0986,0.0
669,0.0059,0.0
670,0.003,0.0003
671,0.004,0.0017
672,0.0576,0.0003
673,0.0025,0.0003
674,0.0513,0.001
675,0.1433,0.0
676,0.0406,0.0
677,0.027,0.0
678,0.0976,0.0095
679,0.0215,0.0
680,0.0168,0.0
681,0.024,0.0005
682,0.0101,0.0003
683,0.0141,0.0001
684,0.0431,0.0009
685,0.0498,0.0
686,0.0199,0.0
687,0.0184,0.0
688,0.0083,0.0
689,0.0052,0.0019
690,0.0135,0.0
691,0.2291,0.0016
692,0.0199,0.0
693,0.0063,0.0005
694,0.1305,0.0002
695,0.1882,0.0
696,0.0387,0.0
697,0.0147,0.0173
698,0.0256,0.0
699,0.5223,0.0002
700,0.649,0.0
701,0.0009,0.0008
702,0.0023,0.0001
703,0.0075,0.0
704,0.7079,0.0
705,0.0618,0.002
706,0.4196,0.0022
707,0.0307,0.001
708,0.1791,0.0
709,0.0268,0.0001
710,0.4023,0.0
711,0.0324,0.0
712,0.0332,0.001
713,0.0913,0.0
714,0.033,0.0001
715,0.3064,0.0001
716,0.2972,0.0
717,0.0984,0.0
718,0.0267,0.0007
719,0.1623,0.0004
720,0.0387,0.0016
721,0.0083,0.0
722,0.0495,0.0
723,0.0933,0.0
724,0.1057,0.0
725,0.0773,0.0003
726,0.4182,0.0
727,0.0564,0.0
728,0.0583,0.0018
729,0.0188,0.0005
730,0.9598,0.0
731,0.0481,0.0035
732,0.0956,0.0008
733,0.2268,0.002
734,0.1059,0.0025
735,0.1111,0.0001
736,0.0547,0.0001
737,0.024,0.0015
738,0.0507,0.0002
739,0.0324,0.0003
740,0.1363,0.0013
741,0.147,0.0003
742,0.0145,0.0
743,0.0331,0.0005
744,0.0124,0.0009
745,0.0524,0.0
746,0.1222,0.0004
747,0.4958,0.0
748,0.392,0.0001
749,0.1507,0.0
750,0.198,0.0001
751,0.0041,0.0001
752,0.0108,0.0
753,0.1077,0.0006
754,0.0667,0.0003
755,0.1437,0.0002
756,0.1864,0.0
757,0.0647,0.0
758,0.0124,0.0017
759,0.2784,0.0
760,0.0143,0.0006
761,0.6491,0.0
762,0.27,0.0015
763,0.2602,0.0
764,0.1765,0.0001
765,0.0457,0.0006
766,0.2219,0.0
767,0.1376,0.0018
768,0.0518,0.0
769,0.1295,0.0011
770,0.0187,0.0
771,0.0198,0.003
772,0.0158,0.0003
773,0.1917,0.0042
774,0.1891,0.0
775,0.0538,0.0005
776,0.0127,0.0011
777,0.2414,0.0
778,0.3478,0.0006
779,0.3646,0.0
780,0.2446,0.0
781,0.0957,0.0004
782,0.178,0.0001
783,0.1704,0.0
784,0.3263,0.0
785,0.1466,0.0
786,0.0985,0.0
787,0.0828,0.0001
788,0.214,0.0
789,0.1614,0.0002
790,0.1215,0.0166
791,0.1341,0.0003
792,0.0849,0.0
793,0.1356,0.0008
794,0.0672,0.0006
795,0.0719,0.0004
796,0.0623,0.0006
797,0.0182,0.0
798,0.0865,0.0001
799,0.0684,0.0
800,0.0427,0.0033
801,0.0245,0.0
802,0.3463,0.0001
803,0.2364,0.0001
804,0.1919,0.0017
805,0.1606,0.0002
806,0.0224,0.0027
807,0.0612,0.0001
808,0.1894,0.0001
809,0.1958,0.0004
810,0.0768,0.0031
811,0.2203,0.0006
812,0.08,0.0
813,0.0039,0.0002
814,0.004,0.0001
815,0.6756,0.0027
816,0.0458,0.0001
817,0.2136,0.0
818,0.1011,0.0
819,0.0416,0.0004
820,0.0046,0.0007
821,0.1117,0.0001
822,0.1543,0.0
823,0.0088,0.0006
824,0.0896,0.0001
825,0.058,0.0005
826,0.0812,0.0006
827,0.0478,0.0
828,0.0154,0.0001
829,0.206,0.0022
830,0.2171,0.0
831,0.0957,0.0001
832,0.6709,0.0001
833,0.162,0.0
834,0.0367,0.0002
835,0.1212,0.0
836,0.1745,0.0004
837,0.2116,0.0001
838,0.2361,0.0
839,0.0213,0.0
840,0.1005,0.0
841,0.3942,0.0
842,0.0178,0.0012
843,0.0397,0.0
844,0.0133,0.0002
845,0.0882,0.0
846,0.2113,0.0003
847,0.2101,0.0
848,0.0096,0.002
849,0.0927,0.0021
850,0.0138,0.0
851,0.1811,0.0007
852,0.1695,0.0002
853,0.0936,0.0
854,0.3585,0.0
855,0.1484,0.0001
856,0.0313,0.0003
857,0.1223,0.007
858,0.0216,0.0
859,0.0196,0.0
860,0.2708,0.0038
861,0.0559,0.0
862,0.069,0.0
863,0.0346,0.0001
864,0.184,0.0002
865,0.0916,0.0013
866,0.0682,0.0003
867,0.0182,0.0002
868,0.1123,0.0
869,0.0044,0.0
870,0.1677,0.0001
871,0.0255,0.0
872,0.0229,0.0
873,0.0314,0.0
874,0.019,0.0011
875,0.1095,0.0046
876,0.0932,0.0
877,0.0484,0.0
878,0.0412,0.0003
879,0.0175,0.0002
880,0.0256,0.0
881,0.3696,0.0
882,0.1644,0.0002
883,0.0192,0.0
884,0.1218,0.0001
885,0.0095,0.0
886,0.0375,0.0
887,0.1377,0.0
888,0.1496,0.0
889,0.0373,0.0025
890,0.091,0.0001
891,0.04,0.0006
892,0.0064,0.0002
893,0.004,0.0
894,0.1279,0.0
895,0.5374,0.0
896,0.1395,0.0001
897,0.1249,0.0
898,0.2265,0.0
899,0.2746,0.0
900,0.0189,0.0002
901,0.0138,0.0001
902,0.2044,0.0005
903,0.0538,0.0
904,0.0078,0.0005
905,0.1077,0.0003
906,0.0959,0.0
907,0.0068,0.0
908,0.0075,0.0
909,0.0875,0.0
910,0.1461,0.0
911,0.1176,0.0001
912,0.1463,0.0
913,0.0224,0.0012
914,0.1399,0.0018
915,0.1088,0.0
916,0.0809,0.0
917,0.0387,0.0001
918,0.0791,0.0004
919,0.0516,0.0
920,0.0973,0.0
921,0.0548,0.0
922,0.1215,0.0021
923,0.4273,0.0003
924,0.0643,0.0001
925,0.0118,0.0
926,0.0297,0.0
927,0.0099,0.0001
928,0.024,0.0003
929,0.0767,0.0011
930,0.0263,0.0
931,0.0262,0.0
932,0.0589,0.0
